City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Aklavik,CA,2022-01-07 19:56:51,68.2191,-135.0107,-9.51,90,100,24.25
144,Tiksi,RU,2022-01-07 19:56:51,71.6872,128.8694,-17.99,88,100,4.03
145,Fortuna,US,2022-01-07 19:56:51,40.5982,-124.1573,52.41,96,75,1.99
146,New Norfolk,AU,2022-01-07 19:56:51,-42.7826,147.0587,59.76,82,100,4.0
147,Westport,US,2022-01-07 19:56:52,41.1415,-73.3579,35.1,60,37,5.99
148,Quelimane,MZ,2022-01-07 19:56:52,-17.8786,36.8883,80.55,88,40,0.0
149,Innisfail,AU,2022-01-07 19:56:52,-17.5333,146.0333,76.53,85,37,3.2
150,Hohhot,CN,2022-01-07 19:56:53,40.8106,111.6522,8.89,85,13,4.47
151,Ponta Do Sol,PT,2022-01-07 19:56:53,32.6667,-17.1,65.01,81,86,10.89
152,Ascension,US,2022-01-07 19:56:53,30.2169,-90.9001,56.1,60,100,4.61
153,Longyearbyen,SJ,2022-01-07 19:56:54,78.2186,15.6401,3.04,78,0,18.41
154,Soto La Marina,MX,2022-01-07 19:52:19,23.7667,-98.2167,66.78,58,87,4.88
155,Mbandaka,CD,2022-01-07 19:56:54,0.0487,18.2603,80.91,55,100,2.33
156,Bonavista,CA,2022-01-07 19:56:54,48.6499,-53.1147,30.11,61,100,10.16
157,Dali,CN,2022-01-07 19:56:54,25.7,100.1833,41.95,81,1,4.68
158,Talnakh,RU,2022-01-07 19:56:55,69.4865,88.3972,-9.8,91,94,16.24
159,Thompson,CA,2022-01-07 19:56:55,55.7435,-97.8558,-10.17,88,95,7.14
160,Caramutan,PH,2022-01-07 19:56:55,15.9167,120.6167,69.48,83,66,2.42
161,Mahebourg,MU,2022-01-07 19:56:56,-20.4081,57.7,79.25,94,40,4.61
162,Saint-Augustin,CA,2022-01-07 19:56:56,51.226,-58.6502,1.83,88,100,4.7
163,Bima,ID,2022-01-07 19:56:56,-8.4667,118.7167,75.9,92,69,1.79
164,Sitka,US,2022-01-07 19:56:56,57.0531,-135.33,20.82,82,100,5.44
165,Chokurdakh,RU,2022-01-07 19:56:57,70.6333,147.9167,-5.84,93,100,7.27
166,Esperance,AU,2022-01-07 19:56:57,-33.8667,121.9,57.04,86,68,14.54
167,Funadhoo,MV,2022-01-07 19:56:57,6.15,73.2667,81.1,75,6,7.96
168,Eyl,SO,2022-01-07 19:56:58,7.9803,49.8164,76.75,75,19,18.59
169,Ahwa,IN,2022-01-07 19:56:58,20.75,73.6833,61.5,92,0,2.53
170,Sur,OM,2022-01-07 19:56:58,22.5667,59.5289,68.23,39,0,17.9
171,Jamestown,US,2022-01-07 19:56:59,42.097,-79.2353,22.08,85,100,8.01
172,Lata,PT,2022-01-07 19:56:59,40.1629,-8.3327,51.82,85,0,3.56
173,Melbu,NO,2022-01-07 19:57:00,68.5044,14.8297,26.42,80,0,11.5
174,Mar Del Plata,AR,2022-01-07 19:57:00,-38.0023,-57.5575,75.49,56,98,20.33
175,General Roca,AR,2022-01-07 19:57:00,-39.0333,-67.5833,93.6,18,0,8.28
176,Lompoc,US,2022-01-07 19:57:00,34.6391,-120.4579,62.13,83,100,4.0
177,Mehamn,NO,2022-01-07 19:57:01,71.0357,27.8492,17.55,79,0,11.5
178,Corrente,BR,2022-01-07 19:57:01,-3.7367,-43.3394,86.38,57,96,1.57
