City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
243,Itarema,BR,80.19,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
247,Celestun,MX,81.21,clear sky,20.8667,-90.4,Posada Lilia
248,San Policarpo,PH,78.35,broken clouds,12.1791,125.5072,Agapita M. Nicart
257,Kavieng,PG,82.99,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
265,Tomatlan,MX,83.93,overcast clouds,19.9333,-105.25,El Salvial
269,Flinders,AU,80.19,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
274,Maumere,ID,80.76,overcast clouds,-8.6199,122.2111,Sylvia Hotel
275,Kieta,PG,84.94,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
276,Sarangani,PH,81.55,overcast clouds,5.4033,125.4636,Ballistic Islet
278,Dubbo,AU,80.73,overcast clouds,-32.25,148.6167,Quality Inn Dubbo International
279,Port Moresby,PG,80.19,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
280,Paracuru,BR,82.42,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
290,Brownsville,US,81.09,broken clouds,25.9018,-97.4975,University Inn & Suites
296,Acapulco,MX,82.22,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
307,Galle,LK,75.13,overcast clouds,6.0367,80.217,Amangalla
320,Nueva Loja,EC,79.97,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
333,Bubaque,GW,79.68,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
337,Los Algarrobos,PA,81.01,few clouds,8.5,-82.4333,Waterfall Hostel
341,Kavaratti,IN,79.65,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
348,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
351,Coruripe,BR,79.2,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
354,Port Hueneme,US,76.12,clear sky,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
355,Axim,GH,80.73,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
357,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
364,Bongaree,AU,85.28,overcast clouds,-27.0797,153.1586,The Gums Anchorage
366,Makasar,ID,75.25,thunderstorm,-5.14,119.4221,Hotel Horison Ultima Makassar
382,Kirakira,SB,84.61,overcast clouds,-10.4544,161.9205,SanBiz Lodge
383,Le Moule,GP,77.04,clear sky,16.3332,-61.3473,Lakaz Hananou
386,La Asuncion,VE,75.76,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
388,Kupang,ID,79.38,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
396,Necochea,AR,87.24,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
407,Quatre Cocos,MU,76.08,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
411,Mbaiki,CF,75.63,broken clouds,3.8678,17.9892,Motel MBM
413,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
418,New Plymouth,NZ,75.06,overcast clouds,-39.0667,174.0833,Belt Road Seaside Holiday Park
419,Pochutla,MX,84.02,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
421,Byron Bay,AU,80.71,few clouds,-28.65,153.6167,Backpackers Inn
429,Alyangula,AU,85.42,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
433,Karratha,AU,86.07,clear sky,-20.7377,116.8463,ibis Styles Karratha
436,Dimbokro,CI,79.38,broken clouds,6.6451,-4.7048,complexe hôtelier le jardin d'Eden
445,Sola,VU,82.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
449,Jardim,BR,75.27,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
