City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
249,Umm Lajj,SA,25.0213,37.2685,74.35,58,90,17.22,overcast clouds
250,Genhe,CN,50.7833,121.5167,-21.23,99,29,2.55,scattered clouds
251,Ilulissat,GL,69.2167,-51.1,17.62,86,100,13.8,overcast clouds
252,Keetmanshoop,NA,-26.5833,18.1333,73.78,63,65,4.03,broken clouds
253,Lichinga,MZ,-13.3128,35.2406,62.35,94,98,3.13,overcast clouds
254,Baijiantan,CN,45.6333,85.1833,10.65,92,28,1.03,scattered clouds
255,Ceres,US,37.5949,-120.9577,64.49,67,0,0.0,clear sky
256,Aklavik,CA,68.2191,-135.0107,-38.61,98,9,3.87,clear sky
257,Kavieng,PG,-2.5744,150.7967,82.99,71,100,6.91,overcast clouds
258,Matara,LK,5.9485,80.5353,74.12,91,100,8.9,overcast clouds
259,Novyy Urgal,RU,51.0736,132.5642,-30.46,100,81,0.78,broken clouds
260,Miyako,JP,39.6367,141.9525,31.59,71,96,4.99,overcast clouds
261,Dunedin,NZ,-45.8742,170.5036,65.3,72,78,4.99,broken clouds
262,Ancud,CL,-41.8697,-73.8203,68.43,85,57,7.27,broken clouds
263,Dehloran,IR,32.6941,47.2679,56.93,36,36,5.03,scattered clouds
264,Lagoa,PT,39.05,-27.9833,60.03,73,100,13.78,overcast clouds
265,Tomatlan,MX,19.9333,-105.25,83.93,43,99,6.73,overcast clouds
266,Guerrero Negro,MX,27.9769,-114.0611,67.82,48,100,6.06,overcast clouds
267,Longyearbyen,SJ,78.2186,15.6401,22.84,93,75,13.8,broken clouds
268,Poronaysk,RU,49.2167,143.1167,9.45,88,100,4.97,overcast clouds
269,Flinders,AU,-34.5833,150.8552,80.19,86,80,3.0,broken clouds
270,Beloha,MG,-25.1667,45.05,74.88,77,100,10.74,overcast clouds
271,Bay Roberts,CA,47.5999,-53.2648,29.52,77,54,3.0,broken clouds
272,San Rafael,AR,-34.6177,-68.3301,95.05,17,87,9.28,overcast clouds
273,Sambava,MG,-14.2667,50.1667,74.12,91,100,5.61,overcast clouds
274,Maumere,ID,-8.6199,122.2111,80.76,77,99,4.92,overcast clouds
275,Kieta,PG,-6.2167,155.6333,84.94,71,28,10.0,scattered clouds
276,Sarangani,PH,5.4033,125.4636,81.55,79,92,15.28,overcast clouds
277,Gat,IL,31.61,34.7642,55.9,36,40,9.75,scattered clouds
278,Dubbo,AU,-32.25,148.6167,80.73,69,100,9.22,overcast clouds
279,Port Moresby,PG,-9.4431,147.1797,80.19,77,94,7.9,overcast clouds
280,Paracuru,BR,-3.41,-39.0306,82.42,77,100,9.75,overcast clouds
281,Channel-Port Aux Basques,CA,47.5702,-59.1367,32.2,98,100,27.11,light snow
282,Kibaya,TZ,-5.3,36.5667,59.38,93,100,3.94,overcast clouds
283,Yumen,CN,40.2833,97.2,17.8,66,0,6.98,clear sky
284,Hecun,CN,36.5333,114.1111,35.47,65,100,3.42,overcast clouds
285,Merauke,ID,-8.4667,140.3333,79.41,85,100,10.07,overcast clouds
286,Fallon,US,39.4735,-118.7774,48.07,45,0,9.22,clear sky
